School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
609772,ADDAMS,ISP,District,Traditional,EAST SIDE,553,21,40,50,49,48,57,56,51,56,60,65,0,0,0,0
610513,AIR FORCE HS,Network 16,District,Traditional,ARMOUR SQUARE,142,0,0,0,0,0,0,0,0,0,0,0,31,32,40,39
610212,ALBANY PARK,Network 1,District,Traditional,ALBANY PARK,221,0,0,0,0,0,0,0,0,0,100,121,0,0,0,0
609774,ALCOTT ES,Network 4,District,Traditional,LINCOLN PARK,602,0,110,54,53,50,57,52,50,56,53,67,0,0,0,0
610524,ALCOTT HS,Network 15,District,Traditional,NORTH CENTER,346,0,0,0,0,0,0,0,0,0,0,0,99,112,87,48
609848,ALDRIDGE,Network 13,District,Traditional,RIVERDALE,234,3,16,16,28,27,22,25,22,21,26,28,0,0,0,0
609695,AMUNDSEN HS,ISP,District,Traditional,LINCOLN SQUARE,"1,497",0,0,0,0,0,0,0,0,0,0,0,383,361,375,378
609951,ARIEL,Network 9,District,Traditional,KENWOOD,354,1,35,30,29,36,34,35,36,31,42,45,0,0,0,0
609777,ARMOUR,ISP,District,Traditional,BRIDGEPORT,248,1,16,27,27,21,30,22,22,29,25,28,0,0,0,0
609779,ARMSTRONG G,ISP,District,Traditional,WEST RIDGE,"1,258",28,61,128,126,120,134,121,131,137,132,140,0,0,0,0
610287,ASHBURN,Network 10,District,Traditional,ASHBURN,350,3,30,28,27,37,33,29,36,46,43,38,0,0,0,0
610268,ASHE,Network 12,District,Traditional,CHATHAM,355,2,18,35,38,38,43,44,29,32,36,40,0,0,0,0
609782,AUDUBON,Network 4,District,Traditional,NORTH CENTER,574,0,131,51,66,55,45,47,47,51,37,44,0,0,0,0
610518,AUSTIN CCA HS,Network 15,District,Traditional,AUSTIN,167,0,0,0,0,0,0,0,0,0,0,0,46,40,49,32
609786,AVALON PARK,Network 12,District,Traditional,AVALON PARK,226,0,19,21,15,29,22,21,19,30,23,27,0,0,0,0
610325,AVONDALE-LOGANDALE,Network 4,District,Traditional,AVONDALE,509,2,25,48,49,48,49,46,53,62,61,66,0,0,0,0
610544,AZUELA,ISP,District,Traditional,WEST LAWN,709,0,0,60,74,74,57,89,82,80,90,103,0,0,0,0
610563,BACK OF THE YARDS HS,ISP,District,Traditional,NEW CITY,"1,004",0,0,0,0,0,0,0,0,0,0,0,258,251,252,243
609788,BARNARD,Network 10,District,Traditional,BEVERLY,263,2,15,17,26,23,26,31,29,32,28,34,0,0,0,0
609789,BARRY,Network 4,District,Traditional,HERMOSA,440,0,32,49,51,69,54,62,61,62,0,0,0,0,0,0
609790,BARTON,Network 11,District,Traditional,AUBURN GRESHAM,384,26,19,35,39,36,38,25,36,42,50,38,0,0,0,0
609791,BASS,Network 11,District,Traditional,ENGLEWOOD,347,15,18,30,43,40,30,39,35,37,26,34,0,0,0,0
609792,BATEMAN,Network 1,District,Traditional,IRVING PARK,891,22,63,81,90,100,97,92,88,83,80,95,0,0,0,0
610083,BEARD,Network 1,District,Specialty,NORWOOD PARK,249,57,128,16,16,18,14,0,0,0,0,0,0,0,0,0
610246,BEASLEY,Network 9,District,Traditional,WASHINGTON PARK,"1,064",50,69,115,115,116,113,80,103,100,95,108,0,0,0,0
609796,BEAUBIEN,Network 1,District,Traditional,JEFFERSON PARK,960,0,19,98,108,112,107,111,107,102,101,95,0,0,0,0
610237,BEETHOVEN,Network 9,District,Traditional,GRAND BOULEVARD,264,8,32,25,32,31,20,19,23,29,23,22,0,0,0,0
609797,BEIDLER,Network 5,District,Traditional,EAST GARFIELD PARK,260,8,16,25,24,38,29,22,20,26,28,24,0,0,0,0
609798,BELDING,Network 1,District,Traditional,IRVING PARK,550,0,40,70,53,56,59,45,48,57,62,60,0,0,0,0
609799,BELL,Network 4,District,Traditional,NORTH CENTER,885,1,4,105,97,91,103,91,106,103,84,100,0,0,0,0
609922,BELMONT-CRAGIN,Network 3,District,Traditional,BELMONT CRAGIN,491,59,84,46,45,42,45,26,30,45,44,25,0,0,0,0
609800,BENNETT,Network 13,District,Traditional,ROSELAND,267,0,25,28,30,24,36,23,21,28,26,26,0,0,0,0
610350,BLACK,Network 12,District,Traditional,CALUMET HEIGHTS,399,0,0,47,38,43,38,46,50,48,45,44,0,0,0,0
609803,BLAINE,Network 4,District,Traditional,LAKE VIEW,634,1,58,60,64,71,73,60,53,76,48,70,0,0,0,0
610087,BLAIR,Network 10,District,Specialty,CLEARING,228,83,74,33,38,0,0,0,0,0,0,0,0,0,0,0
609698,BOGAN HS,Network 16,District,Traditional,ASHBURN,641,0,0,0,0,0,0,0,0,0,0,0,148,198,160,135
610238,BOND,Network 11,District,Traditional,ENGLEWOOD,226,1,22,26,21,28,29,23,17,19,20,20,0,0,0,0
609804,BOONE,Network 2,District,Traditional,WEST RIDGE,714,0,56,68,85,74,76,68,58,66,84,79,0,0,0,0
609815,BOUCHET,Network 12,District,Traditional,SOUTH SHORE,597,5,49,77,67,58,65,56,68,56,40,56,0,0,0,0
610323,BOWEN HS,Network 17,District,Traditional,SOUTH CHICAGO,197,0,0,0,0,0,0,0,0,0,0,0,45,51,47,54
609806,BRADWELL,Network 12,District,Traditional,SOUTH SHORE,420,2,22,52,31,50,43,39,47,39,50,45,0,0,0,0
610242,BRENNEMANN,Network 2,District,Traditional,UPTOWN,434,25,31,41,48,46,39,35,45,43,38,43,0,0,0,0
