school_name,lat,lng,form_addy,actual_name
ADDAMS,41.85705249999999,-87.6449257,"1814 S Union Ave, Chicago, IL 60616, United States",Jane Addams High School
AIR FORCE HS,41.8280093,-87.6328463,"3630 S Wells St, Chicago, IL 60609, United States",Air Force Academy High School
ALBANY PARK,41.9711048,-87.70960939999999,"4929 N Sawyer Ave, Chicago, IL 60625, United States",Albany Park Multicultural Academy
ALCOTT ES,41.9296481,-87.6459706,"2625 N Orchard St, Chicago, IL 60614, United States",Alcott Elementary School
ALCOTT HS,41.9357563,-87.6805206,"2957 N Hoyne Ave, Chicago, IL 60618, United States",Alcott College Prep
ALDRIDGE,41.6575897,-87.6064885,"630 E 131st St, Chicago, IL 60827, United States",Aldridge Elementary School
AMUNDSEN HS,41.9757137,-87.67991339999999,"5110 N Damen Ave, Chicago, IL 60625, United States",Amundsen High School
ARIEL,41.8112429,-87.5989341,"1119 E 46th St, Chicago, IL 60653, United States",Ariel Community Academy
ARMOUR,41.8340245,-87.6500203,"950 W 33rd Pl, Chicago, IL 60608, United States",Armour Elementary School
ARMSTRONG G,42.0105918,-87.68491399999999,"2110 W Greenleaf Ave, Chicago, IL 60645, United States",George Armstrong Elementary School
ASHBURN,41.7418771,-87.70980999999999,"8300 S St Louis Ave, Chicago, IL 60652, United States",Ashburn Community Elementary School
ASHE,41.740034,-87.6010088,"8505 S Ingleside Ave, Chicago, IL 60619, United States",Arthur R Ashe Jr School
AUDUBON,41.9454052,-87.6811001,"3500 N Hoyne Ave, Chicago, IL 60618, United States",John James Audubon Elementary School
AUSTIN CCA HS,41.8853945,-87.76297559999999,"231 N Pine Ave, Chicago, IL 60644, United States",Austin College & Career Academy High School
AVALON PARK,41.748521,-87.5914255,"8045 S Kenwood Ave, Chicago, IL 60619, United States",Avalon Park Fine & Performing Arts School
AVONDALE-LOGANDALE,41.93442,-87.7080682,"3212 W George St, Chicago, IL 60618, United States",Avondale-Logandale Elementary
AZUELA,41.77097029999999,-87.739418,"4707 W Marquette Rd, Chicago, IL 60629, United States",Mariano Azuela Elementary School
BACK OF THE YARDS HS,41.8074302,-87.67759699999999,"2111 W 47th St, Chicago, IL 60609, United States",Back of the Yards College Preparatory High School
BARNARD,41.7053999,-87.65832619999999,"10354 S Charles St, Chicago, IL 60643, United States",Alice L . Barnard Elementary School
BARRY,41.9326675,-87.73975519999999,"2828 N Kilbourn Ave, Chicago, IL 60641, United States",Barry Elementary School
BARTON,41.7546087,-87.6713822,"7650 S Wolcott Ave, Chicago, IL 60620, United States",Barton Elementary School
BASS,41.7747559,-87.6537977,"1140 W 66th St, Chicago, IL 60621, United States",Perkins Bass Elementary School
BATEMAN,41.9581281,-87.7026125,"4220 N Richmond St, Chicago, IL 60618, United States",Newton Bateman Elementary School
